#给自定义用户词扩展一个换行:\n, 制表符：\t, 回车符：\r, 空格：\s

不	b
是不是	ubu
越来越	yly
为什么	wum
输入法	urf
课件	kejm
卫健委	wjww
主治	vuvi
防治	fhvi
瘤	lq
梗阻	ggzu
气管	qigr
脊髓	jisv
店子	dmzi
复合	fuhe
柚木	yzmu
黄埔知识城招商雍景湾	jtdv
胶质瘤	jvlq
院区	yrqu
招商雍景湾	vcuh
阴性	ybxk
亚组	yazu
病历	bkli
超声	icug
杰青	jpqk
迷走	mizz
缺血	qtxt
协作	xpzo
世纪	uiji
宫颈	gsjk
微信	wwxb
致密	vimi
:	;;
<	;,
>	;.
.	;d
脊柱	jivu
<	oks
>	oks
》	oks
.	okd
'	okd
本院	bfyr
链接	lmjp
湘雅	xlya
科室	keui
文件夹	wjjx
办公室	bgui
横断	hgdr
冠状	grvl
只能	ving
病种	bkvs
简单	jmdj
字符	zifu
基线	jixm
医师	yiui
越秀	ytxq
联系	lmxi
一下	yixx
直肠	viih
腹腔	fuql
术后	uuhz
腺瘤	xmlq
内膜	nwmo
肌瘤	jilq
托福	tofu
原发	yrfa
原发灶	yfzc
食管	uigr
异位	yiww
么么	meme
人体工学	rtgx
试试	uiui
计算	jisr
淋巴结	lbjp
位移	wwyi
咽后	yjhz
摄取	uequ
贝宝	bwbc
病程	bkig
分期	ffqi
訸	he
出血	iuxt
急求	jiqq
结节	jpjp
脊	ji
😭😭😭	ku
😂😂😂	xn
了	le
期	qi
群里	qyli
太棒	tdbh
调参	tncj
师姐	uijp
生殖	ugvi
数位板	uwbj
状	vl
我	wo
文捷	wfjp
腺	xm
腺体	xmti
压脂	yavi
影像	ykxl
右叶	yzye
硬化	ykhx
左叶	zoye
组学	zuxt
鼻咽	biyj
病理	bkli
病灶	bkzc
导师	dcui
复现	fuxm
复试	fuui
放疗	fhln
工学	gsxt
规培	gvpw
龚宇	gsyu
建模	jmmo
计数	jiuu
简历	jmli
基于	jiyu
颈	jk
聚类	julw
考研	kcyj
南华	njhx
配准	pwvy
群晖	qyhv
乳猪	ruvu
生信	ugxb
审稿	ufgc
师大	uida
矢状	uivl
真是	vfui
这本	vebf
中南	vsnj
志愿	viyr
谢辉	xphv
预后	yuhz
医科	yike
乙状	yivl
综述	zsuu
做的	zode
浩江	hcjl
梨状	livl
隐窝	ybwo
