

b	不 吧
a	啊
c	才
d	的
e	二
f	非
g	个
h	和
i	出
j	就
k	可
l	了
m	没
n	你
o	哦
p	平
q	去
r	人
s	三
t	他
u	是
v	这
w	我
x	小
y	一
z	在

aa	阿
ah	昂
ai	爱
an	安
ao	奥
ba	把
bb	滨
bc	报
bd	白
bf	本
bg	蹦
bh	帮
bi	比
bj	办
bk	并
bm	边
bn	表
bo	拨
bp	别
bu	部
bw	被
ca	擦
cc	草
cd	菜
ce	测
cf	岑
cg	曾
ch	藏
ci	次
cj	参
co	错
cr	窜
cs	从
cu	粗
cv	催
cy	村
cz	凑
da	大
dc	到
dd	代
de	得
dg	等
dh	当
di	地
dj	但
dk	定
dm	点
dn	调
do	多
dp	跌
dq	丢
dr	段
ds	动
du	读
dv	对
dw	得
dy	顿
dz	都
ee	额
eh	鹤
ei	欸
en	恩
er	而
fa	法
ff	分
fg	风
fh	放
fj	反
fo	佛
fu	副
fw	费
fz	否
ga	嘎
gc	高
gd	该
ge	各
gf	跟
gg	更
gh	刚
gj	干
gk	怪
gl	光
go	过
gr	关
gs	共
gu	古
gv	贵
gw	给
gx	挂
gy	滚
gz	够
ha	哈
hc	好
hd	还
he	何
hf	很
hg	横
hh	行
hj	含
hk	坏
hl	黄
ho	或
hr	换
hs	红
hu	户
hv	会
hw	黑
hx	话
hy	混
hz	后
ia	差
ic	超
id	拆
ie	车
if	陈
ig	成
ih	长
ii	吃
ij	产
ik	揣
il	窗
io	戳
ir	传
is	冲
iu	处
iv	吹
iy	纯
iz	抽
jb	进
ji	几
jk	经
jl	将
jm	间
jn	叫
jp	接
jq	久
jr	卷
ju	据
jx	加
jy	均
ka	卡
kc	靠
kd	开
ke	克
kf	肯
kg	坑
kh	抗
kj	看
kk	快
kl	况
ko	扩
kr	宽
ks	空
ku	酷
kv	亏
kw	剋
kx	夸
ky	困
kz	口
la	拉
lb	林
lc	老
ld	来
le	乐
lg	冷
lh	浪
li	里
lk	另
ll	两
lm	连
ln	料
lo	落
lp	列
lq	刘
lr	乱
ls	龙
lu	路
lv	绿
lw	类
ly	论
lz	楼
ma	吗
mb	民
mc	毛
md	买
me	么
mf	们
mg	梦
mh	忙
mi	米
mj	慢
mk	名
mm	面
mn	秒
mo	末
mp	灭
mu	目
mw	每
mz	某
na	那
nb	您
nc	闹
ne	呢
nf	嫩
ng	能
nh	囊
ni	泥
nj	难
nk	宁
nm	年
nn	鸟
no	挪
np	捏
nq	牛
nr	暖
ns	弄
nt	虐
nu	怒
nv	女
nw	内
og	嗯
oo	喔
ou	欧
pa	怕
pb	品
pc	跑
pd	排
pf	盆
pg	碰
ph	旁
pi	批
pj	盘
pk	凭
pm	片
pn	票
po	破
pp	撇
pu	普
pw	配
pz	剖
qb	亲
qi	其
qk	请
ql	强
qm	前
qn	桥
qp	且
qq	求
qr	全
qs	穷
qt	却
qu	区
qx	恰
qy	群
rc	绕
re	热
rf	任
rg	仍
rh	让
ri	日
rj	然
ro	若
rr	软
rs	容
ru	如
rz	肉
sa	撒
sc	扫
sd	赛
se	色
sf	森
sg	僧
si	四
sj	散
so	所
sr	算
ss	送
su	苏
sv	岁
sz	搜
ta	她
tc	套
td	太
te	特
tg	疼
th	汤
ti	体
tj	谈
tk	听
tm	天
tn	调
to	托
tp	贴
tr	团
ts	同
tu	图
tv	推
tz	头
ua	啥
uc	少
ue	设
uf	深
ug	生
uh	上
ui	事
uj	山
uk	帅
ul	双
uo	说
ur	拴
uu	数
uv	水
uw	谁
uy	顺
uz	受
va	扎
vc	找
ve	着
vf	真
vg	正
vh	长
vi	只
vj	占
vk	拽
vl	装
vo	桌
vr	转
vs	中
vu	主
vv	追
vx	抓
vz	周
wa	挖
wd	外
wf	问
wg	翁
wh	王
wj	完
wo	握
wu	无
ww	为
xb	新
xi	系
xk	行
xl	想
xm	先
xn	笑
xp	些
xq	修
xr	选
xs	熊
xt	学
xu	需
xx	下
ya	亚
yb	因
yc	要
ye	也
yh	样
yi	以
yj	眼
yk	应
yo	哟
yr	元
ys	用
yt	月
yu	与
yy	云
yz	有
za	咋
zc	早
zd	再
ze	则
zf	怎
zg	增
zh	藏
zi	字
zo	做
zs	总
zu	组
zv	最
zw	贼
zz	走
