石	Y	Y
月	U	U
钅	I	I
纟	O	O
讠	P	P
氵	H	H
亻	J	J
扌	K	K
木	L	L
忄	N	N
山	M	M
儿	rj	r
而	rj	r
耳	rj	r
二	rj	r
邑	rj	r
牙	rji	df
言	rji	df
羊	rji	df
业	rji	df
衣	rji	df
音	rji	df
尢	rji	df
酉	rji	df
又	rji	df
页	rji	df
衤	rji	df
瓦	rju	cv
王	rju	cv
韦	rju	cv
文	rju	cv
用	rjv	sf
羽	rjv	sf
雨	rjv	sf
玉	rjv	sf
聿	rjv	sf
鱼	rjv	sf
丷	b	s
八	b	s
白	b	s
勹	b	s
贝	b	s
卜	b	s
不	b	s
鼻	bi	qf
匕	bi	qf
髟	bi	qf
冫	bi	qf
疒	bi	qf
艹	c	sdv
廾	c	sdv
厂	cj	sd
车	cj	sd
齿	cj	sd
彳	cj	sd
赤	cj	sd
虫	cju	ad
巛	cju	ad
寸	cu	b
大	d	f
歹	d	f
刂	d	f
⺈	d	f
刀	d	f
斗	d	f
豆	d	f
丶	di	qf
方	f	c
非	f	c
风	f	c
缶	f	c
阜	f	c
父	f	c
宀	g	q
戈	g	q
革	g	q
鬲	g	q
艮	g	q
弓	gu	qr
工	gu	qr
骨	gu	qr
谷	gu	qr
瓜	gu	qr
广	gu	qr
鬼	gu	qr
禾	h	zf
黑	h	zf
一	h	zf
虍	hu	zv
户	hu	zv
火	hu	zv
灬	hu	zv
几	gi	w
己	gi	w
见	gi	w
角	gi	w
卩	gi	w
巾	gi	w
金	gi	w
斤	gi	w
臼	gi	w
口	k	k
囗	ku	ku
匚	ku	ku
冂	ku	ku
凵	ku	ku
老	l	ar
耒	l	ar
力	li	ae
立	li	ae
龙	lu	aw
鹿	lu	aw
马	m	d
毛	m	d
矛	m	d
门	m	d
母	m	d
目	m	d
米	mi	wef
冖	mi	wef
皿	mi	wef
鸟	ni	rg
牛	ni	rg
女	nv	wg
攵	p	x
夊	p	x
皮	pi	av
片	pi	av
丿	pi	av
气	ki	a
欠	ki	a
犭	kv	af
犬	kv	af
人	r	er
日	r	er
肉	r	er
三	s	sr
糸	s	sr
厶	s	sr
罒	s	sr
彡	sj	xc
舌	sj	xc
身	sj	xc
尸	sj	xc
十	sj	xc
食	sj	xc
矢	sj	xc
豕	sj	xc
礻	sj	xc
士	sj	xc
示	sj	xc
手	sj	xc
首	sj	xc
饣	sj	xc
殳	sju	zc
鼠	sju	zc
丨	sju	zc
水	sju	zc
亠	t	v
田	ti	dv
土	tu	sv
夕	hi	zx
覀	hi	zx
香	hi	zx
小	hi	zx
⺌	hi	zx
心	hi	zx
辛	hi	zx
行	hi	zx
穴	hv	xv
彐	hv	xv
血	hv	xv
子	z	zf
辶	z	zf
走	z	zf
廴	z	zf
乛	zj	we
支	zj	we
止	zj	we
豸	zj	we
舟	zj	we
竹	zju	qe
爪	zju	qe
隹	zju	qe
足	zu	zd
