sheng,buzhou,anjian,code,quickword
#,耳（阝）儿二,R,AZZ,而
i,羊（𦍌）衣（衤）牙言页业音尢酉又,FD,bZZ,一
u,瓦王韦文,VC,gZZ,我
ü,鱼羽雨玉聿,FS,qZZ,与
b,八（丷）卜（⺊）白勹贝不,S,hZZ,不
bi,鼻匕髟冫疒,QF/QS,CZZ,并
p,攵（夊）,X,QZZ,跑
pi,皮片丿,AV/XA,UZZ,批
m,马毛矛门母目朩,D,lZZ,们
mi,米冖皿,DW,GZZ,名
f,方非风缶父,C,jZZ,法
d,刀（刂⺈）大歹斗豆,F,aZZ,的
di,丶,FE,yZZ,地
t,亠,V,sZZ,他
ti,田,VD,FZZ,条
tu,土,VS,MZZ,同
ni,鸟牛,GR,KZZ,你
nü,女,GW,YZZ,女
l,老（耂）耒,B/AR,oZZ,了
li,力立,BF/AE,mZZ,两
lu,龙鹿,BD/AW,RZZ,路
g,宀戈革鬲,Q,rZZ,个
gu,弓工廾骨谷瓜广鬼,QR,kZZ,过
k,口,AG,zZZ,看
ku,囗冂匚凵,AF,TZZ,快
h,禾黑一,Z,nZZ,和
hu,虎（虍）火（灬）户,ZV,tZZ,或
ji,卩（㔾）几见角巾金斤臼,W,dZZ,就
qi,气欠,SA,pZZ,其
qü,犬（犭）,SG,IZZ,去
xi,西（覀）小（⺌）心（㣺）夕香辛行,XZ,fZZ,小
xü,穴彐血,XB,NZZ,学
zh,爪（爫）乛支止豸舟,E,eZZ,这
zhu,竹隹,EQ,uZZ,中
ch,厂车齿彳赤,DS,wZZ,成
chu,虫,DA,HZZ,出
sh,食（饣）示（礻）手（龵）彡舌身尸十矢豕士,CX,cZZ,是
shu,水（氺）殳鼠丨,CZ,DZZ,说
r,人（入）日（曰）肉,RE,vZZ,人
z,走（辶廴）子,T,iZZ,在
zu,足,TE/ZD,EZZ,最
c,艹,GF,LZZ,才
cu,寸,GD,VZZ,从
s,四（罒）三糸厶巳,BV/SR,JZZ,三
右,石,Y,ZeZ,——
右,月,U,ZaZ,“
右,钅,I,ZcZ,”
右,纟,O,ZfZ,：
右,讠,P,ZdZ,；
右,氵,H,ZwZ,、
右,亻,J,ZeZ,，
右,扌,K,ZkZ,。
右,木,L,ZiZ,？
右,忄,N,ZAZ,……
右,山,M,ZuZ,！
