code,pinyin,pinyinwithtone
abZ,de1,dē
obZ,le1,lē
isZ,zai4,zài
caZ,shi4,shì
niZ,he2,hé
bdZ,yi1,yī
eeZ,zhe4,zhè
bwZ,you3,yǒu
soZ,ta1,tā
gkZ,wo3,wǒ
bkZ,ye3,yě
haZ,bu4,bù
dzZ,jiu4,jiù
yaZ,di4,dì
ebZ,zhe1,zhē
ugZ,zhong1,zhōng
cvZ,shang4,shàng
DbZ,shuo1,shuō
aMZ,dou1,dōu
vrZ,ren2,rén
reZ,ge4,gè
xmZ,dui4,duì
uDZ,zhong3,zhǒng
hHZ,ba3,bǎ
gmZ,wei4,wèi
gJZ,wei2,wéi
bqZ,yao4,yào
KcZ,ni3,nǐ
AfZ,er2,ér
oCZ,lai2,lái
bzZ,you4,yòu
qcZ,yu3,yǔ
VjZ,cong2,cóng
KnZ,nian2,nián
aqZ,dao4,dào
nCZ,hai2,hái
auZ,da4,dà
aDZ,deng3,děng
mFZ,liang3,liǎng
IaZ,qu4,qù
mcZ,li3,lǐ
aiZ,de2,dé
cfZ,shi2,shí
xbZ,duo1,duō
qpZ,yong4,yòng
BuZ,na4,nà
bcZ,yi3,yǐ
PkZ,suo3,suǒ
nGZ,hen3,hěn
ccZ,shi3,shǐ
ahZ,dan4,dàn
fAZ,xiao3,xiǎo
edZ,zhi1,zhī
BjZ,neng2,néng
fuZ,xia4,xià
teZ,huo4,huò
zhZ,kan4,kàn
hmZ,bei4,bèi
JtZ,san1,sān
tmZ,hui4,huì
nAZ,hao3,hǎo
zkZ,ke3,kě
nzZ,hou4,hòu
rKZ,gei3,gěi
fvZ,xiang4,xiàng
bIZ,you2,yóu
SfZ,ru2,rú
BbZ,ne1,nē
qfZ,yu2,yú
pfZ,qi2,qí
keZ,guo4,guò
CpZ,bing4,bìng
ecZ,zhi3,zhǐ
dyZ,jiang1,jiāng
flZ,xin1,xīn
fFZ,xiang3,xiǎng
dcZ,ji3,jǐ
rpZ,geng4,gèng
ayZ,dang1,dāng
IeZ,que4,què
EmZ,zui4,zuì
LCZ,cai2,cái
HdZ,chu1,chū
iiZ,ze2,zé
llZ,men1,mēn
hoZ,ba1,bā
AaZ,er4,èr
LaZ,ci4,cì
qeZ,yue4,yuè
ChZ,bian4,biàn
EeZ,zuo4,zuò
wjZ,cheng2,chéng
JaZ,si4,sì
iwZ,zou3,zǒu
MjZ,tong2,tóng
FPZ,tiao2,tiáo
rLZ,gao1,gāo
loZ,ma1,mā
dfZ,ji2,jí
FtZ,tian1,tiān
dqZ,jiao4,jiào
oAZ,lao3,lǎo
CcZ,bi3,bǐ
pcZ,qi3,qǐ
BmZ,nei4,nèi
yxZ,dian3,diǎn
vvZ,rang4,ràng
vaZ,ri4,rì
elZ,zhen1,zhēn
wEZ,chang2,cháng
fpZ,xing4,xìng
ekZ,zhe3,zhě
lJZ,mei2,méi
doZ,jia1,jiā
pnZ,qian2,qián
DKZ,shui3,shuǐ
wdZ,chi1,chī
tuZ,hua4,huà
gcZ,wu3,wǔ
rlZ,gen1,gēn
dhZ,jian4,jiàn
boZ,ya1,yā
lKZ,mei3,měi
FgZ,ting1,tīng
gBZ,wen4,wèn
gsZ,wai4,wài
epZ,zheng4,zhèng
aHZ,da3,dǎ
InZ,quan2,quán
bgZ,ying1,yīng
sIZ,tou2,tóu
gfZ,wu2,wú
hGZ,ben3,běn
cJZ,shei2,shéi
czZ,shou4,shòu
asZ,dai4,dài
AoZ,a1,ā
ftZ,xian1,xiān
MfZ,tu2,tú
cgZ,sheng1,shēng
cwZ,shou3,shǒu
mnZ,lian2,lián
ooZ,la1,lā
jHZ,fa3,fǎ
mpZ,ling4,lìng
jlZ,fen1,fēn
dtZ,jian1,jiān
blZ,yin1,yīn
rRZ,gai1,gāi
fqZ,xiao4,xiào
fyZ,xiang1,xiāng
LjZ,ceng2,céng
omZ,lei4,lèi
TsZ,kuai4,kuài
fkZ,xie3,xiě
daZ,ji4,jì
LcZ,ci3,cǐ
AhZ,an4,àn
eyZ,zhang1,zhāng
EDZ,zong3,zǒng
eAZ,zhao3,zhǎo
NiZ,xue2,xué
dFZ,jiang3,jiǎng
zRZ,kai1,kāi
jvZ,fang4,fàng
PmZ,sui4,suì
ssZ,tai4,tài
cAZ,shao3,shǎo
OaZ,ju4,jù
DaZ,shu4,shù
DcZ,shu3,shǔ
mzZ,liu4,liù
eaZ,zhi4,zhì
qnZ,yuan2,yuán
jNZ,fei1,fēi
GjZ,ming2,míng
pDZ,qing3,qǐng
rhZ,gan4,gàn
ehZ,zhan4,zhàn
HaZ,chu4,chù
KrZ,nin2,nín
ydZ,di1,dī
BOZ,na2,ná
JcZ,si3,sǐ
hhZ,ban4,bàn
dgZ,jing1,jīng
uaZ,zhu4,zhù
jaZ,fu4,fù
mvZ,liang4,liàng
wFZ,chang3,chǎng
DdZ,shu1,shū
fbZ,xie1,xiē
iaZ,zi4,zì
dBZ,jin4,jìn
gFZ,wang3,wǎng
lrZ,men2,mén
BHZ,na3,nǎ
iAZ,zao3,zǎo
vjZ,reng2,réng
